episodes,score,discounted_score
35600,3.9300,0.5211
35700,4.2580,0.5766
35800,4.5380,0.5582
35900,4.2470,0.5677
36000,4.2470,0.5677
36100,3.9740,0.5567
36200,4.2250,0.5499
36300,4.0650,0.5604
36400,4.2140,0.5410
36500,4.0830,0.5399
36600,4.0830,0.5399
36700,4.1340,0.5462
36800,4.0540,0.5515
36900,3.9340,0.5594
37000,3.8720,0.5442
37100,4.0140,0.5541
37200,4.2470,0.5677
37300,3.9560,0.5772
37400,4.1050,0.5578
37500,4.1960,0.5614
37600,4.2250,0.5499
37700,4.1230,0.5373
37800,3.7740,0.5699
37900,4.3780,0.5687
38000,4.3050,0.5446
38100,4.1120,0.5284
38200,4.4070,0.5572
38300,3.8760,0.5824
38400,4.2250,0.5499
38500,4.2980,0.5740
38600,4.3340,0.5331
38700,4.1340,0.5462
38800,4.1560,0.5640
38900,4.1630,0.5347
39000,4.2980,0.5740
39100,4.1230,0.5373
39200,4.0250,0.5630
39300,4.2470,0.5677
39400,3.8540,0.5646
39500,4.3670,0.5598
39600,4.1520,0.5258
39700,4.3670,0.5598
39800,4.3670,0.5598
39900,3.9630,0.5478
40000,4.2070,0.5703
40100,4.1670,0.5729
40200,4.2400,0.5970
40300,4.3380,0.5713
40400,4.3960,0.5483
40500,4.1340,0.5462
40600,4.2180,0.5792
40700,4.1560,0.5640
40800,4.1560,0.5640
40900,4.5380,0.5582
41000,4.6180,0.5529
41100,4.1630,0.5347
41200,4.1010,0.5195
41300,4.4180,0.5661
41400,4.2870,0.5651
41500,4.1670,0.5729
41600,4.0470,0.5808
41700,4.4070,0.5572
41800,4.1560,0.5640
41900,4.1050,0.5578
42000,3.9850,0.5656
42100,3.8720,0.5442
42200,4.1740,0.5436
42300,4.1270,0.5756
42400,4.3560,0.5509
42500,3.9450,0.5683
42600,4.1670,0.5729
42700,4.2760,0.5561
42800,3.9450,0.5683
42900,4.2980,0.5740
43000,4.1340,0.5462
43100,4.0760,0.5693
43200,4.1740,0.5436
43300,4.1160,0.5667
43400,4.2250,0.5499
43500,4.0760,0.5693
43600,3.8540,0.5646
43700,4.0650,0.5604
43800,3.9230,0.5505
43900,3.9850,0.5656
44000,4.1050,0.5578
44100,3.9560,0.5772
44200,4.0830,0.5399
44300,4.1670,0.5729
44400,4.1340,0.5462
44500,4.1850,0.5525
44600,4.2360,0.5588
44700,3.8650,0.5735
44800,3.8830,0.5531
44900,4.3380,0.5713
45000,4.4290,0.5750
45100,4.5780,0.5556
45200,4.0540,0.5515
45300,4.4400,0.5839
45400,4.2430,0.5294
45500,4.0940,0.5488
45600,4.4580,0.5635
45700,4.1960,0.5614
45800,3.9160,0.5798
45900,4.0100,0.5158
46000,4.1380,0.5845
46100,3.9340,0.5594
46200,4.2650,0.5472
46300,4.1960,0.5614
46400,4.2690,0.5855
46500,4.1850,0.5525
46600,4.0360,0.5719
46700,4.1450,0.5551
46800,4.1670,0.5729
46900,4.1160,0.5667
47000,4.3340,0.5331
47100,4.4690,0.5724
47200,4.1450,0.5551
47300,4.1670,0.5729
47400,4.0580,0.5897
47500,4.2470,0.5677
47600,4.1090,0.5960
47700,4.1670,0.5729
47800,4.1780,0.5819
47900,4.2360,0.5588
48000,4.3670,0.5598
48100,4.3090,0.5829
48200,3.6360,0.5982
48300,4.2250,0.5499
48400,3.9560,0.5772
48500,4.1670,0.5729
48600,4.4000,0.5865
48700,4.4070,0.5572
48800,4.3160,0.5535
48900,4.5270,0.5493
49000,4.3160,0.5535
49100,4.1340,0.5462
49200,4.1160,0.5667
49300,4.4580,0.5635
49400,3.8940,0.5620
49500,4.0870,0.5782
49600,4.3270,0.5624
49700,4.3490,0.5802
49800,3.9230,0.5505
49900,4.2870,0.5651
50000,4.1850,0.5525
50100,4.0470,0.5808
50200,4.1960,0.5614
50300,4.0290,0.6013
50400,4.5670,0.5467
50500,4.2360,0.5588
50600,4.3960,0.5483
50700,4.1270,0.5756
50800,4.2980,0.5740
50900,4.1780,0.5819
51000,4.2250,0.5499
51100,4.2870,0.5651
51200,4.1090,0.5960
51300,4.2690,0.5855
51400,4.1450,0.5551
51500,4.4070,0.5572
51600,3.9920,0.5363
51700,4.3670,0.5598
51800,4.2980,0.5740
51900,3.9960,0.5746
52000,4.5780,0.5556
52100,4.0980,0.5871
52200,3.8360,0.5851
52300,3.9270,0.5887
52400,4.1450,0.5551
52500,4.1050,0.5578
52600,4.3270,0.5624
52700,4.1270,0.5756
52800,4.1780,0.5819
52900,4.2070,0.5703
53000,4.1960,0.5614
53100,4.4870,0.5519
53200,3.9270,0.5887
53300,4.3670,0.5598
53400,4.1490,0.5934
53500,4.3200,0.5918
53600,4.2650,0.5472
53700,4.2870,0.5651
53800,4.3450,0.5420
53900,4.5380,0.5582
54000,4.3850,0.5394
54100,4.2000,0.5997
54200,4.2290,0.5881
54300,4.1960,0.5614
54400,3.9850,0.5656
54500,4.3270,0.5624
54600,4.3490,0.5802
54700,4.2760,0.5561
54800,4.0470,0.5808
54900,3.7850,0.5788
55000,3.9380,0.5976
55100,4.2180,0.5792
55200,4.1050,0.5578
55300,4.3780,0.5687
55400,4.4580,0.5635
55500,4.2760,0.5561
55600,4.1670,0.5729
55700,4.1560,0.5640
55800,4.1890,0.5908
55900,4.1490,0.5934
56000,4.1560,0.5640
56100,4.2400,0.5970
56200,4.1160,0.5667
56300,4.2070,0.5703
56400,4.1160,0.5667
56500,4.3380,0.5713
56600,4.1890,0.5908
56700,4.3600,0.5892
56800,4.2870,0.5651
56900,4.4290,0.5750
57000,4.2070,0.5703
57100,4.3380,0.5713
57200,4.3090,0.5829
57300,4.1490,0.5934
57400,4.1560,0.5640
57500,4.3560,0.5509
57600,4.3490,0.5802
57700,3.8760,0.5824
57800,3.9960,0.5746
57900,4.3270,0.5624
58000,4.3380,0.5713
58100,4.0180,0.5924
58200,4.4180,0.5661
58300,4.1090,0.5960
58400,4.2070,0.5703
58500,4.0070,0.5835
